date,title,review,rating,helpful_votes,review_length,platform,language,location,version,verified_purchase,cleaned_reviews,platform_grouped,sentiment,polarity_scores
,Try memory number occur behind.,Include plan step food drive nation heart nearly season growth. Language however risk work other military year few feel develop talk against state ready.,5,40,24,Google Play,ar,Estonia,3.9.4,No,include plan step food drive nation heart nearly season growth language however risk work military year feel develop talk state ready,Mobile,Positive,"{'neg': 0.083, 'neu': 0.714, 'pos': 0.202, 'compound': 0.4588}"
,Indicate test thank dinner present own.,Economic eight feel now notice design baby foot lot major together reflect standard. Organization feel room office bad argue side girl.,3,116,21,Amazon,de,Austria,4.7.1,Yes,economic eight feel notice design baby foot lot major together reflect standard organization feel room office bad argue side girl,Web,Negative,"{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.7096}"
,Nice maintain present cultural pattern save east.,American music change maybe determine anything rule hotel knowledge organization measure develop. Skill challenge from live seat nature energy huge its recently seven.,4,146,23,Amazon,pt,Poland,3.4.0,No,american music change maybe determine anything rule hotel knowledge organization measure develop skill challenge live seat nature energy huge recently seven,Web,Positive,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.5719}"
,We unit than star add.,Become public interest give fly order agency fight write pattern wrong kind certainly. Under do rate choose rock beat science.,3,2,20,Website,en,Greenland,5.7.4,Yes,become public interest give fly order agency fight write pattern wrong kind certainly rate choose rock beat science,Other,Positive,"{'neg': 0.207, 'neu': 0.473, 'pos': 0.32, 'compound': 0.4767}"
,Ten affect test power discuss herself.,Deep national seek nature performance yeah reason property heavy town money eight. Exist smile peace apply pressure across home even.,5,90,20,Flipkart,de,Nauru,5.4.2,Yes,deep national seek nature performance yeah reason property heavy town money eight exist smile peace apply pressure across home even,Web,Positive,"{'neg': 0.083, 'neu': 0.606, 'pos': 0.311, 'compound': 0.7184}"
,Want we difficult.,Cost may leader unit again easy morning. Majority season adult range green few you without every artist election hit.,1,79,19,App Store,en,Saint Lucia,5.5.2,Yes,cost may leader unit easy morning majority season adult range green without every artist election hit,Mobile,Positive,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}"
2025-05-05,Fish they risk she.,Whether partner personal dinner drive check wife travel forget my deal catch. Range dark catch read together travel involve training show prevent north citizen attack mouth rest.,3,83,27,App Store,fr,Kenya,2.2.8,No,whether partner personal dinner drive check wife travel forget deal catch range dark catch read together travel involve train show prevent north citizen attack mouth rest,Mobile,Negative,"{'neg': 0.172, 'neu': 0.79, 'pos': 0.038, 'compound': -0.5994}"
,Clearly difficult impact why.,Charge could capital ago worry pay paper partner others. Reach grow read live maybe painting Republican hear system man.,5,128,19,Amazon,fr,Saudi Arabia,3.7.4,No,charge could capital ago worry pay paper partner others reach grow read live maybe painting republican hear system man,Web,Negative,"{'neg': 0.201, 'neu': 0.748, 'pos': 0.051, 'compound': -0.4939}"
2024-08-06,Minute later still.,Computer western keep pay reach term. Into simply part station result hour voice occur movie political.,1,119,16,Google Play,fr,Martinique,2.6.8,No,computer western keep pay reach term simply part station result hour voice occur movie political,Mobile,Negative,"{'neg': 0.09, 'neu': 0.839, 'pos': 0.071, 'compound': -0.0772}"
,Single visit receive career.,Newspaper might piece any fact huge. Similar experience coach family try ready tough less position bed may.,1,101,17,Google Play,hi,Christmas Island,5.1.7,No,newspaper might piece fact huge similar experience coach family try ready tough less position bed may,Mobile,Positive,"{'neg': 0.078, 'neu': 0.674, 'pos': 0.249, 'compound': 0.5106}"
,Information finally shoulder.,To time think bed food possible represent clearly run before relationship plant be. Risk window partner civil nearly analysis color friend the television class certain shoulder.,3,149,26,App Store,zh,British Indian Ocean Territory (Chagos Archipelago),1.3.7,Yes,time think bed food possible represent clearly run relationship plant risk window partner civil nearly analysis color friend television class certain shoulder,Mobile,Positive,"{'neg': 0.075, 'neu': 0.641, 'pos': 0.285, 'compound': 0.7096}"
2024-02-06,Project study fear.,Whether about she activity marriage material space. Third down open little improve bag outside each natural people newspaper stay any challenge president already.,5,143,23,Amazon,pt,Christmas Island,2.1.7,No,whether activity marriage material space third open little improve bag outside natural people newspaper stay challenge president already,Web,Positive,"{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.6605}"
2025-06-07,Receive partner body role pick.,Particularly reality organization skin concern lay often use behavior. Follow today star serve successful assume likely business teacher forget including.,4,29,20,Flipkart,en,Vietnam,1.4.7,Yes,particularly reality organization skin concern lay often use behavior follow today star serve successful assume likely business teacher forget include,Web,Positive,"{'neg': 0.08, 'neu': 0.759, 'pos': 0.16, 'compound': 0.4404}"
2024-08-06,South defense political real effort attack feel.,Interview summer employee offer perhaps until pass market role. Manage conference participant remember without ability agency personal brother summer son yourself increase free.,1,60,23,Website,fr,Guam,4.7.5,No,interview summer employee offer perhaps pass market role manage conference participant remember without ability agency personal brother summer son increase free,Other,Positive,"{'neg': 0.077, 'neu': 0.704, 'pos': 0.219, 'compound': 0.5629}"
2024-01-02,At chance subject fund heart move.,Pattern ahead compare form full public trouble something population loss physical throughout Mr. Leg sport until argue minute north question new affect officer forward trouble.,5,190,25,Flipkart,ja,Nauru,1.7.9,No,pattern ahead compare form full public trouble something population loss physical throughout mr leg sport argue minute north question new affect officer forward trouble,Web,Negative,"{'neg': 0.336, 'neu': 0.664, 'pos': 0.0, 'compound': -0.8442}"
2025-08-05,Financial force show better word might yeah.,Relate fire all including market down later week democratic. Company hear also dark begin media sometimes toward child future low.,3,8,20,Amazon,de,Rwanda,4.7.3,No,relate fire include market later week democratic company hear also dark begin medium sometimes toward child future low,Web,Negative,"{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.5423}"
,Bill my near even wall sound off.,Break financial analysis summer the four threat billion she seat against serve. Fly court everybody five kid brother chance event address performance.,1,175,22,Amazon,ru,Guadeloupe,3.0.6,No,break financial analysis summer four threat billion seat serve fly court everybody five kid brother chance event address performance,Web,Negative,"{'neg': 0.152, 'neu': 0.759, 'pos': 0.089, 'compound': -0.34}"
,Like water century time election guy contain.,Anything ahead tough anyone himself beat hot relate through picture real. Pattern fine stage require provide move wind sense letter capital spend turn life lay.,2,31,25,App Store,es,Libyan Arab Jamahiriya,2.9.0,Yes,anything ahead tough anyone beat hot relate picture real pattern fine stage require provide move wind sense letter capital spend turn life lay,Mobile,Positive,"{'neg': 0.062, 'neu': 0.864, 'pos': 0.074, 'compound': 0.0772}"
2025-06-06,Per nature wind himself future.,Little goal leave color should page. Meet if research blood news audience few leave opportunity.,3,62,15,Flipkart,pt,Mongolia,2.1.8,Yes,little goal leave color page meet research blood news audience leave opportunity,Web,Positive,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.4509}"
,Serious produce laugh.,Name door production back us off main option leg never. Computer what attorney board sport side her management produce bed stage thought tough.,5,55,23,Flipkart,zh,Congo,2.9.0,No,name door production back u main option leg never computer attorney board sport side management produce bed stage think tough,Web,Negative,"{'neg': 0.077, 'neu': 0.923, 'pos': 0.0, 'compound': -0.128}"
2025-03-07,Image itself deep community cause new.,Feel some quickly truth view response trip wrong old particularly. Identify camera family hard nature apply reflect star grow technology tend dog reduce hour fish.,2,33,25,Website,hi,Tunisia,2.1.0,Yes,feel quickly truth view response trip wrong old particularly identify camera family hard nature apply reflect star grow technology tend dog reduce hour fish,Other,Negative,"{'neg': 0.162, 'neu': 0.755, 'pos': 0.083, 'compound': -0.296}"
,Need last green control painting official.,Care author administration return main join wrong. Case south team throw receive us perhaps lawyer.,1,91,15,Flipkart,pt,Vanuatu,3.0.2,No,care author administration return main join wrong case south team throw receive u perhaps lawyer,Web,Positive,"{'neg': 0.159, 'neu': 0.564, 'pos': 0.277, 'compound': 0.3182}"
,Fine apply gas sing light mention light safe.,Happen within nothing relate both loss real center rule worker worker single let. Model particular early piece professional protect range much.,1,32,21,App Store,ru,French Polynesia,1.1.7,No,happen within nothing relate loss real center rule worker worker single let model particular early piece professional protect range much,Mobile,Positive,"{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.5517}"
,Edge past every either scientist.,Along type see risk nor article list college. Prevent factor say agree machine camera baby.,3,131,15,Website,es,Palestinian Territory,4.8.3,Yes,along type see risk nor article list college prevent factor say agree machine camera baby,Other,Positive,"{'neg': 0.119, 'neu': 0.678, 'pos': 0.203, 'compound': 0.128}"
2025-05-05,Politics sense break.,Space end red machine son television garden base certain value. Study sell include himself produce rise cold official success.,5,77,19,App Store,en,Lebanon,1.7.6,No,space end red machine son television garden base certain value study sell include produce rise cold official success,Mobile,Positive,"{'neg': 0.0, 'neu': 0.647, 'pos': 0.353, 'compound': 0.802}"
,Effort once leave push.,Do raise hope enjoy most itself eye something high firm morning what. Truth PM what it truth teach friend environment.,1,125,20,App Store,es,Congo,1.5.9,Yes,raise hope enjoy eye something high firm morning truth pm truth teach friend environment,Mobile,Positive,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.9169}"
,Candidate prevent tonight not whose to receive education.,Question year finish action across attack in moment rate goal. Edge alone people arm order thus describe outside business when beat.,1,32,21,Amazon,pt,Northern Mariana Islands,5.8.5,No,question year finish action across attack moment rate goal edge alone people arm order thus describe outside business beat,Web,Negative,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.6249}"
,Century shoulder despite poor.,Show realize property show either sit everyone artist home. Election spend concern attorney woman customer hotel population.,5,135,17,Amazon,ar,Antigua and Barbuda,5.9.6,Yes,show realize property show either sit everyone artist home election spend concern attorney woman customer hotel population,Web,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2024-07-08,Long identify road speech audience difficult his.,Number economy knowledge to chance policy. Professor entire record toward off middle vote.,1,167,13,Website,de,Vietnam,4.7.3,No,number economy knowledge chance policy professor entire record toward middle vote,Other,Positive,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.3182}"
,Cause cover rest or majority.,Radio hundred place where before movement which ball least short. Computer always his course receive to piece grow be plan.,3,116,20,App Store,ja,Luxembourg,1.5.6,No,radio hundred place movement ball least short computer always course receive piece grow plan,Mobile,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,Particularly structure ask stage box organization past.,Whom administration fund front return if deep president mission vote thank. Chance often under already center president likely truth animal red candidate common anyone film soldier.,3,95,26,Flipkart,ar,Sudan,1.1.1,Yes,administration fund front return deep president mission vote thank chance often already center president likely truth animal red candidate common anyone film soldier,Web,Positive,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.7003}"
,Religious order exist really.,Food wish office case student soldier share or friend building center. Collection have close during old card social place heavy citizen they ball account.,4,24,24,Amazon,fr,Cambodia,5.0.9,No,food wish office case student soldier share friend building center collection close old card social place heavy citizen ball account,Web,Positive,"{'neg': 0.0, 'neu': 0.677, 'pos': 0.323, 'compound': 0.7964}"
,Everybody create someone rate why.,Mission include visit particular also conference matter wear physical. Girl above dog brother morning believe gun seven music despite show.,1,105,20,Amazon,ja,Paraguay,1.4.9,No,mission include visit particular also conference matter wear physical girl dog brother morning believe gun seven music despite show,Web,Negative,"{'neg': 0.117, 'neu': 0.829, 'pos': 0.054, 'compound': -0.3182}"
,For better scene thank.,Approach hair decide edge pattern three. Analysis science understand compare size machine break time return or for cup quality for.,3,26,20,Website,ru,Latvia,2.2.7,Yes,approach hair decide edge pattern three analysis science understand compare size machine break time return cup quality,Other,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,Majority yet option student evidence role save.,Approach job democratic participant concern health leader create grow especially from allow. Arrive carry surface learn commercial gas though page smile point particularly color wife talk beat.,1,89,27,Website,zh,Cyprus,1.4.9,Yes,approach job democratic participant concern health leader create grow especially allow arrive carry surface learn commercial gas though page smile point particularly color wife talk beat,Other,Positive,"{'neg': 0.0, 'neu': 0.772, 'pos': 0.228, 'compound': 0.6997}"
,With less catch.,Watch trial together individual analysis yard safe mean international hour special recent better. Drive next actually rule wear car fast positive before look fight reflect teach section.,4,143,27,Website,pt,Nigeria,5.0.9,No,watch trial together individual analysis yard safe mean international hour special recent well drive next actually rule wear car fast positive look fight reflect teach section,Other,Positive,"{'neg': 0.074, 'neu': 0.602, 'pos': 0.324, 'compound': 0.8271}"
2025-04-06,Book half people.,Team audience throw four allow international. Recently partner offer debate range per friend usually method travel hair.,1,46,17,Amazon,hi,Moldova,3.5.0,Yes,team audience throw four allow international recently partner offer debate range per friend usually method travel hair,Web,Positive,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.6249}"
,Question mouth factor per son war speak.,Catch friend much power say sell that reflect. Fly today me institution approach health laugh may stop like.,2,144,18,App Store,es,Benin,2.0.1,Yes,catch friend much power say sell reflect fly today institution approach health laugh may stop like,Mobile,Positive,"{'neg': 0.094, 'neu': 0.511, 'pos': 0.396, 'compound': 0.7964}"
,Success knowledge fight car smile commercial employee.,Today eye what body every recent many themselves minute physical fall. Use listen information scene again country against soon strong mind from official pretty skin main.,4,107,26,App Store,zh,Sierra Leone,2.5.4,No,today eye body every recent many minute physical fall use listen information scene country soon strong mind official pretty skin main,Mobile,Positive,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.7579}"
,Hard day religious program within.,Chance expect what peace claim movement. Win stuff realize project child draw American first call.,5,152,15,Google Play,en,Central African Republic,2.2.9,Yes,chance expect peace claim movement win stuff realize project child draw american first call,Mobile,Positive,"{'neg': 0.0, 'neu': 0.542, 'pos': 0.458, 'compound': 0.8519}"
,Question bring agent pay.,Building agent use shoulder way until choose wife national. Former relate listen face want wonder off chair north trade kind ready rule too.,1,69,23,App Store,ja,Azerbaijan,4.9.7,No,building agent use shoulder way choose wife national former relate listen face want wonder chair north trade kind ready rule,Mobile,Positive,"{'neg': 0.0, 'neu': 0.702, 'pos': 0.298, 'compound': 0.7351}"
,Hard health expect goal within them.,On develop very everyone against Mrs knowledge public. Wish hour make owner memory argue project huge.,3,55,16,Website,es,Saint Vincent and the Grenadines,3.6.1,No,develop everyone mr knowledge public wish hour make owner memory argue project huge,Other,Positive,"{'neg': 0.138, 'neu': 0.575, 'pos': 0.287, 'compound': 0.3818}"
,Face make state few one management.,Eye south wife interest to cause onto beat debate listen test. At whether series because important trial increase new report sense carry control.,5,124,23,Website,hi,Afghanistan,1.3.6,Yes,eye south wife interest cause onto beat debate listen test whether series important trial increase new report sense carry control,Other,Positive,"{'neg': 0.0, 'neu': 0.705, 'pos': 0.295, 'compound': 0.7269}"
,Physical live reason build mention.,Feel policy PM buy program explain conference trade population. Budget everyone yes at seat ok not.,1,52,16,Amazon,de,Azerbaijan,2.4.4,No,feel policy pm buy program explain conference trade population budget everyone yes seat ok not,Web,Positive,"{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.5994}"
,Even recently guy move goal.,Leave really group apply guess player western any factor police. Message short consumer behind sell myself their step.,1,1,18,App Store,ja,Holy See (Vatican City State),2.2.6,Yes,leave really group apply guess player western factor police message short consumer behind sell step,Mobile,Negative,"{'neg': 0.079, 'neu': 0.921, 'pos': 0.0, 'compound': -0.0516}"
,Threat our shake garden report agreement.,Include TV clear design me story somebody next ready weight suffer Republican. Individual trouble bring capital admit give reality catch.,5,143,20,Amazon,es,Cambodia,4.0.6,Yes,include tv clear design story somebody next ready weight suffer republican individual trouble bring capital admit give reality catch,Web,Negative,"{'neg': 0.229, 'neu': 0.517, 'pos': 0.255, 'compound': -0.0772}"
,Continue goal before suffer walk.,Film decide wonder interesting several born affect machine. Amount blue soldier message arrive budget education at property senior site turn day.,4,19,21,Amazon,pt,Dominican Republic,4.9.6,No,film decide wonder interesting several born affect machine amount blue soldier message arrive budget education property senior site turn day,Web,Positive,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.4019}"
,Relate news American foreign break exist.,Attention standard shake more respond who commercial senior above rise under turn surface. Hand operation keep whatever Congress great here Democrat dinner both world buy book career.,3,29,27,App Store,en,Mexico,3.2.9,No,attention standard shake respond commercial senior rise turn surface hand operation keep whatever congress great democrat dinner world buy book career,Mobile,Positive,"{'neg': 0.063, 'neu': 0.667, 'pos': 0.27, 'compound': 0.765}"
,Ask window full organization.,World into task thus sort voice happen actually purpose. How mission put budget house reason within scientist.,3,22,17,App Store,es,Saint Kitts and Nevis,2.6.9,No,world task thus sort voice happen actually purpose mission put budget house reason within scientist,Mobile,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,Check perform benefit baby seem should.,Share she order series song wall green project wear. Memory challenge lawyer business majority discuss wall ahead scene store marriage ago condition painting.,5,20,23,App Store,hi,Luxembourg,3.3.5,Yes,share order series song wall green project wear memory challenge lawyer business majority discuss wall ahead scene store marriage ago condition painting,Mobile,Positive,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.3612}"
,Maintain body push process rate occur.,Energy gas teacher national weight all involve trip himself fire heavy least. Computer process single those clearly issue fine.,1,130,19,Google Play,ru,Macedonia,5.3.5,No,energy gas teacher national weight involve trip fire heavy least computer process single clearly issue fine,Mobile,Positive,"{'neg': 0.114, 'neu': 0.571, 'pos': 0.314, 'compound': 0.4939}"
,Also price institution method inside after.,Enjoy opportunity help put short expect article opportunity campaign hand special. Agree through game best generation group goal product easy possible or travel assume figure front after.,2,60,27,Google Play,fr,Honduras,3.3.2,Yes,enjoy opportunity help put short expect article opportunity campaign hand special agree game best generation group goal product easy possible travel assume figure front,Mobile,Positive,"{'neg': 0.0, 'neu': 0.357, 'pos': 0.643, 'compound': 0.9776}"
,Behind front attack song little decide somebody prepare.,Follow best major real day market specific property coach federal. Cut player wind away sure degree enter father of source person when response.,1,45,23,App Store,ar,Panama,5.9.7,No,follow best major real day market specific property coach federal cut player wind away sure degree enter father source person response,Mobile,Positive,"{'neg': 0.079, 'neu': 0.677, 'pos': 0.244, 'compound': 0.6597}"
2025-07-09,Mission hair challenge character.,Customer I person law shake Congress affect reflect television officer. Produce station visit environmental point speak table trade various risk.,3,38,20,App Store,es,Tokelau,4.7.4,No,customer person law shake congress affect reflect television officer produce station visit environmental point speak table trade various risk,Mobile,Negative,"{'neg': 0.183, 'neu': 0.817, 'pos': 0.0, 'compound': -0.4215}"
,Evening ahead smile everyone.,Plant suffer environment expert civil rather. Image box court early still less nice job positive already.,5,14,16,Amazon,ru,Saint Helena,1.4.7,No,plant suffer environment expert civil rather image box court early still less nice job positive already,Web,Positive,"{'neg': 0.157, 'neu': 0.582, 'pos': 0.262, 'compound': 0.3277}"
,Edge this draw business southern forget once.,Area to finish fear as western. Public though however style successful door number matter building professional oil simple.,1,14,18,Amazon,hi,Dominica,1.1.9,No,area finish fear western public though however style successful door number matter build professional oil simple,Web,Positive,"{'neg': 0.15, 'neu': 0.561, 'pos': 0.29, 'compound': 0.25}"
,Education his police red total.,Design blood degree ever impact television argue mouth record both nation. Radio white these view guy resource start again whom paper success production wait real.,4,148,25,Website,en,Kenya,4.9.3,No,design blood degree ever impact television argue mouth record nation radio white view guy resource start paper success production wait real,Other,Positive,"{'neg': 0.096, 'neu': 0.757, 'pos': 0.147, 'compound': 0.3182}"
,Likely include subject response theory star station.,Travel hotel within eight bed state. Father teacher civil keep first speech popular smile ever bag.,5,121,16,Website,fr,Netherlands Antilles,1.7.1,No,travel hotel within eight bed state father teacher civil keep first speech popular smile ever bag,Other,Positive,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.6486}"
,Consider then war this difference way.,Scene law agree appear political picture social carry husband pick finish bank citizen. Require should power candidate order improve vote later them card community or foreign example base.,1,129,28,Flipkart,en,Congo,2.7.7,Yes,scene law agree appear political picture social carry husband pick finish bank citizen require power candidate order improve vote later card community foreign example base,Web,Positive,"{'neg': 0.0, 'neu': 0.81, 'pos': 0.19, 'compound': 0.6597}"
,Risk country Congress society agreement.,Anyone peace outside chance when color note add. Itself turn law purpose budget require course technology site explain management candidate task outside yet.,3,95,23,Amazon,ja,Heard Island and McDonald Islands,4.5.9,Yes,anyone peace outside chance color note add turn law purpose budget require course technology site explain management candidate task outside yet,Web,Positive,"{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.6705}"
,Accept mean herself.,Beat light the window huge defense himself interest others authority news. Four dog traditional you vote whose our.,3,16,18,Amazon,es,Uganda,5.6.4,No,beat light window huge defense interest others authority news four dog traditional vote whose,Web,Positive,"{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.7269}"
,Might job close say man.,Oil employee mean us there car. Report item employee finish without material wind exactly guess involve total enjoy.,5,38,18,Amazon,es,Norfolk Island,5.2.5,No,oil employee mean u car report item employee finish without material wind exactly guess involve total enjoy,Web,Positive,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.4939}"
2025-01-04,Short Congress turn east marriage behind forget.,Apply chance discover along employee relationship job yet until American ground. Magazine manage suffer term buy behavior test Congress collection meet evening through one on will.,4,33,26,Website,es,Holy See (Vatican City State),3.8.6,No,apply chance discover along employee relationship job yet american ground magazine manage suffer term buy behavior test congress collection meet even one,Other,Negative,"{'neg': 0.137, 'neu': 0.784, 'pos': 0.078, 'compound': -0.3612}"
,High human concern whole tend become system clear.,Student child ball store process law western. Price forget analysis performance laugh water yourself trade someone can tell soon executive sometimes season natural.,2,171,23,Website,es,Zimbabwe,4.8.5,Yes,student child ball store process law western price forget analysis performance laugh water trade someone tell soon executive sometimes season natural,Other,Positive,"{'neg': 0.073, 'neu': 0.692, 'pos': 0.235, 'compound': 0.6369}"
,Pass its international American game less.,Building make it south financial rate capital. Story mention majority those live none institution series.,3,79,15,Flipkart,de,Venezuela,3.7.3,Yes,build make south financial rate capital story mention majority live none institution series,Web,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2024-08-04,Green one shoulder administration scientist.,Picture modern fact join trade local chance campaign total success mission far. Necessary true message member including let result.,2,39,19,Google Play,hi,Tajikistan,1.8.8,Yes,picture modern fact join trade local chance campaign total success mission far necessary true message member include let result,Mobile,Positive,"{'neg': 0.0, 'neu': 0.584, 'pos': 0.416, 'compound': 0.8658}"
